geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Eastern,2023-10-22,1.6255198365520531,2.0,low,region
Eastern,2023-10-29,2.616456125298467,2.0,low,region
Eastern,2023-11-05,1.6685136851277187,2.0,low,region
Eastern,2023-11-12,4.23608457548648,3.0,moderate,region
Eastern,2023-11-19,3.042418424017525,3.0,moderate,region
Eastern,2023-11-26,4.679161559875912,4.0,high,region
Eastern,2023-12-03,2.987161747789201,2.0,low,region
Eastern,2023-12-10,3.676859575443861,3.0,moderate,region
Eastern,2023-12-17,10.148461336774488,5.0,very high,region
Eastern,2023-12-24,,,,region
Eastern,2023-12-31,7.677980035878849,4.0,high,region
Eastern,2024-01-07,23.013439958763826,5.0,very high,region
Eastern,2024-01-14,19.105938264769375,5.0,very high,region
Eastern,2024-01-21,19.463051432406807,5.0,very high,region
Eastern,2024-01-28,17.122684114101304,5.0,very high,region
Northern,2021-09-12,,,,region
Northern,2021-09-19,,,,region
Northern,2021-09-26,,,,region
Northern,2021-10-03,,,,region
Northern,2021-10-10,,,,region
Northern,2021-10-17,,,,region
Northern,2021-10-24,6.714170529585663,4.0,high,region
Northern,2021-10-31,3.496915508133516,3.0,moderate,region
Northern,2021-11-07,2.170286785765815,2.0,low,region
Northern,2021-11-14,2.435269160923578,2.0,low,region
Northern,2021-11-21,4.077951777502944,3.0,moderate,region
Northern,2021-11-28,12.8203551080776,5.0,very high,region
Northern,2021-12-05,5.516720649969422,4.0,high,region
Northern,2021-12-12,8.401989058665947,5.0,very high,region
Northern,2021-12-19,42.218447003450514,5.0,very high,region
Northern,2021-12-26,21.8529131179954,5.0,very high,region
Northern,2022-01-02,26.046087678196983,5.0,very high,region
Northern,2022-01-09,20.907682173176266,5.0,very high,region
Northern,2022-01-16,6.523224141169487,4.0,high,region
Northern,2022-01-23,1.2132735868195188,1.0,minimal,region
Northern,2022-01-30,3.7166942740190976,3.0,moderate,region
Northern,2022-02-06,1.973646356669173,2.0,low,region
Northern,2022-02-13,1.4707968880144566,1.0,minimal,region
Northern,2022-02-20,1.6523337018916566,2.0,low,region
Northern,2022-02-27,0.4347513497792137,1.0,minimal,region
Northern,2022-03-06,0.5853125946311329,1.0,minimal,region
Northern,2022-03-13,1.1736689005292873,1.0,minimal,region
Northern,2022-03-20,1.1041435718943085,1.0,minimal,region
Northern,2022-03-27,0.6581678714281037,1.0,minimal,region
Northern,2022-04-03,1.501753325368529,2.0,low,region
Northern,2022-04-10,2.3458368095220137,2.0,low,region
Northern,2022-04-17,2.972770225968303,2.0,low,region
Northern,2022-04-24,3.293956794925357,3.0,moderate,region
Northern,2022-05-01,4.281799582045857,3.0,moderate,region
